location,collection,merge_below,notes
1F,DAPAFI,,1ST FLOOR
1F,DAPANF,,
1F,CDAFI,,
1F,CDANF,,
1F,PH,,
TE1F,BKYNFWL,,
TE1F,BKYFIWL,,
NT1F,BKYFI,,
NT1F,BKYNF,,
TE1F,BKYFI,,
TE1F,LPFI,,
TE1F,BKYNF,,
TE1F,BKYNFGN,TRUE,
TE1F,BKYFIGN,,
TE1F,CDYFI,,
TE1F,CDYNF,,
TE1F,DAPY,,
TE1F,MAY,,
TE1F,SOJ,TRUE,
1F,SOA,TRUE,
1F,VGA,TRUE,
1F,VGJ,TRUE,
1F,VGY,,
1F,BKANFPC,,
AD1F,BKANFGN,TRUE,
AD1F,BKAFIGN,,
1F,DBRAFE,,DVDs/Blu-ray
1F,DBRAFF,,
1F,DBRANF,,
1F,DBRATV,,
1F,DVDANF,,
1F,DVDAFE,,
1F,DVDAFF,,
1F,DVDATV,,
AD1F,DVDATV,,
1F,CDAMS,,CDs
NA1F,BKAFISF,TRUE,
NA1F,BKAFIFA,,
NA1F,BKAFIRO,,
NA1F,BKAFIWE,,
NA1F,BKAFIMY,,
NA1F,BKAFI,,
1F,BKAFISF,TRUE,FICTION
1F,BKAFIFA,,
1F,BKAFIRO,,
1F,BKAFIWE,,
1F,BKAFIMY,,
1F,BKAFI,TRUE,
1F,BKAFIHL,,
1F,LPFI,,
1F,LPFIMY,,
1F,LPFIWE,,
1F,LPNF,,
1F,DVDAWL,TRUE,
1F,CDAWL,TRUE,
1F,BKANFWL,TRUE,
1F,BKAFIWL,,
1F,BKANFSP,,
1F,BKAFISP,,
1F,MAAWL,,
NR1F,BKAFI,,
NR1F,BKANF,,
1F,BKAFISL,TRUE,
1F,BKAFIUR,,
1F,PAAFI,TRUE,
1F,PAAFIRO,,
TEST,BKANFJO,,2ND FLOOR
2F,MAA,,
NA2F,BKANF,,
CUL,BKAFI,,
CUL,BKANF,,
2F,SC,,
OV,BKANF,,
AUT,BKANF,,
2F,BKANF,TRUE,
2F,BKANFHL,,
2F,MPA,,
BC2F,BKAFI,,
ASK,BKAFIID,,
ST,BKJNF,,LOWER STACKS
ST,BKJFI,,
ST,CDAFI,,
ST,CDANF,,
ST,BKANFGN,TRUE,
ST,BKAFIGN,TRUE,
ST,BKYNFGN,TRUE,
ST,BKYFIGN,,
ST,CDAMS,,
ST,BKANF,,
ST,LPFI,TRUE,
ST,LPFIWE,TRUE,
ST,LPFIMY,,
ST,LPNF,,
ST,BKAFI,TRUE,
ST,BKAFIMY,TRUE,
ST,BKAFIRO,TRUE,
ST,BKAFIWE,TRUE,
ST,BKAFISF,TRUE,
ST,BKAFIFA,TRUE,
ST,BKAFIHL,,
ST,CDAWL,TRUE,
ST,BKANFWL,TRUE,
ST,BKAFIWL,,
ST,MAA,,
ST,PH,,
ST,DVDAFE,,
ST,DVDAFF,,
ST,DVDATV,,
ST,DVDANF,,
ASK,EQ,,
NCLL,BKJNF,,YS
NCLL,BKJFI14,,
NCLL,BKJFI,,
CHLL,MAJ,,
CHLL,BKJNFGN,TRUE,
CHLL,BKJFIGN,,
CHLL,ERJFI,,
CHLL,BKJFI14,,
CHLL,BKJFI,,
CHLL,BCDJ,,
CHLL,CDJFI,,
CHLL,CDJNF,,
CHLL,BAEJ,,
CHLL,LPFI,,
CHLL,LPNF,,
NCLL,BKPJFI,,
PCLL,BKJFI,,
PCLL,BKJNF,,
PCLL,CDAWL,,
PCLL,CDANF,,
CHLL,PBJBBBI,TRUE,
CHLL,PBJFIBI,TRUE,
CHLL,PBJFIWL,,
CHLL,CDJWL,,
CHLL,DVDJWL,,
CHLL,BKJFIAW,,
CHLL,BKJNF,,
CHLL,DVDJNF,,
CHLL,DBRJ,,
CHLL,DVDJFE,,
CHLL,CDJMS,,
NCLL,PBJFI,,
CHLL,PBJFI,,
CHLL,PBJFIBB,,
